Common name,Origin,First developed,Comment,Use
"Ribston Pippin(syn. Formosa Pippin, Travers Pippin)",England,1708,"An irregularly-shaped and sometimes lopsided apple, usually round to conical and flattened at the base with distinct ribbing. W 70, H 58. Stalk 10 mm. Skin is yellow with an orange blush and red streaked with russet dots. Yellow flesh is firm, fine-grained, crisp, juicy, aromatic and with a pear-like flavour, subacid, very good. The original Ribston Pippin sprouted in 1708 from one of three apple pips sent from Normandy to Sir Henry Goodricke, 4th Baronet of Ribston Hall at Knaresborough. The original tree stood until 1835. It then sent up a new shoot and, on the original roots, lived until 1928. Pick early October. Use Nov. - Jan.",Eating
"Richard´s Graft(syn. Red Spitzenberg, Strawberry, Derrikinan)",US,1852,"W 75, H 59. Stalk 20 mm. Biennial. Flesh yellowish-white, tender, juicy, aromatic, subacid, very good. Tree medium size. Use September - October.",Eating
Richared Delicious,Washington,Introduced 1926,Mutation of Delicious,Eating
Ridge,US,1850,"A large apple. Flesh yellowish, juicy, crisp, sweet, aromatic. Tree a good grower and bearer. Use March - April.",Eating
Ringstad,Sweden,1800,"A yellow apple with red overcolour. W 73, H 60. Pick September. Use October - November.",Eating
Risäter,Sweden,1800,"A yellow apple. W 68, H 58. Flesh subacid. Pick September. Use October - November.","Eating, Cooking, Cider"
Rival,England,1900,"Round, flattened and somewhat uneven-shaped apple. A fairly good cropper, keeping well into December. Raised by Charles Ross. AM from RHS in 1900. H 58-63, W 73-76. Stalk 10 mm. Pick late September - early October. Use October - December.","Eating, Cooking"
Rivers Early Peach,,,"A yellow flat conical apple. W 88, H 70. Flesh white, sweet, aromatic, dry. Stalk short. Raised by Mr. Rivers. Pick mid- August.",Eating
"Rock Pippin(syn. Ridge Pippin, Lemon)",US,1850,"W 75, H 75. Stalk 15 mm. Flesh yellow, dry, acid. Use December - March.",Cooking
Rolfe,US,1857,"Stalk short to medium. Flesh whitish, tender, juicy, sweet. Use August - September.",Eating
Roman Stem,US,1800,"Flesh juicy, aromatic, subacid, very good. Use October - December.",Eating
Rome Beauty,United States,Introduced 1848,"Rounded, deep red, and very glossy. W 82-86 H 70-74. Stalk 28 mm. Flesh yellow, firm, crisp, juicy, aromatic, mild subacid, good. Develops an extraordinary depth and richness when cooked. Use November - May","Cooking, Eating"
Ronk,US,1860,An apple of the Vandevere type. Use October - January.,Eating
Rosemary Russet,United Kingdom,1831,"Flat conical, yellow with brick red flush, flesh crisp, yellow. Regular cropper. Flesh, juicy, sweet, sharp, like 'Ashmead's Kernel'. W 64-70, H 55. Stalk 24–28 mm. Pick late September Use November - March.",Eating
Rosenhæger Danish,Denmark,1795,"A green apple with red overcolour. H 48-55, W 53-60. Use October - November.",Eating
Rosenhäger Swedish,Sweden,1800,"A yellow apple with red overcolour. H 50, W 68. Use November - December.",Eating
Ross Nonpareil,Ireland,1802,"Small , round, even, covered russet with dark crimson markings. Flesh soft, rich nonpariel flavour. Use Nov. - Jan.",Eating
Roter Ananas,Germany,1854,"A red conical apple. W 58, H 56. Stalk 20mm. Pick September. Use September–October.","Cooking, Eating"
Roter Trierer Weinapfel,Germany,1880,A red apple for juice and cider. Pick October. Use November - March.,"Juice, Cider"
Rother Jungfernapfel,Germany,1800,"A small apple. W 49, H 46. Stalk 20 mm. Use November - January.","Eating, Cooking"
"Rother Winterhimbeerapfel(syn. Oberländer Winterhimbeerapfel, Zigeunerapfel)",Hungary,1850,"A red apple. W 66, H 55. Flesh juicy, aromatic. Pick October. Use November - March.",Eating
Roundway Magnum Bonum,England,1864,"Very large apple. A first-rate culinary or desert apple. Flesh greenish-yellow, dry, sweet pear-like flavour.","Eating, Cooking"
Rouville,Canada,1983,,
"Roxbury Russet(syn. Boston Russet, Putnam Russet, Warner Russet, Sylvan Russet, Belpre Russet, Marietta Russet, Howe´s Russet)",United States,1640,"First tree a chance seedling grown in Roxbury, Massachusetts, now a neighborhood of Boston. Oldest known variety of apple in America, planted by Pilgrim Fathers as foundation stock for Massachusetts Bay Colony. Knobbly, russetted coat gives green skin a bronze tinge. Flesh cream coloured flesh, firme, coarse, tender, juicy, subacid good to very good. W 70-89. H 57-76, Stalk 12–26 mm. Excellent keeper; resistant to fireblight. Mild flavour. Multi-purpose apple that is a wonderful choice for pies, eating fresh, or cider. Still available in New England farmer's markets; commercial interest recently renewed in this cultivar because of its past use as a cider apple. Use January - June.","Cooking (pies), Eating, Cider."
Royal Gala see Gala,,,,
Ros Picant,Romania,,"Characterized by its distinct, faintly spicy flavor. Green and yellow, mostly used for making cider and Pálinka.","Cider, cooking, Eating"
Royal Jubilee(Graham´s),England,1888,"Large yellow conical cooking apple. W 65 - 90. H 54 - 90, We 130 - 190. Raised by John Graham of Hounslow. Stalk 10 mm. Tree very dwarf. Flesh yellow subacid. Free from canker. Pick late September. For use in October–December.",Cooking
Royal Late,England,1896,"A large yellow-green apple with russet. Am from RHS in 1896. Flesh soft, yellow, juicy, subacid. Very liable to canker.",Cooking
Royal Russet,England,1597,A most excellent culinary apple of first rate quality. W 88 H 69. Use November - May.,Cooking
Rozela,Czech Republic,2008,"Flesh is medium firm, juicy with great aromatic flavour and delicate smell. The skin is attractive bright red with prominent lenticels. Annual producer of heavy crops, the resistant equivalent of Idared with outstanding flavour.",Eating
Rubens (Civni),Italy,1985,Sweet and crunchy; Gala × Elstar.,Eating
Rubinette(syn. Rafzubin),Germany,1966,A yellow apple with red flush. P Golden Delicious x unknown. Pick September. Use September - December.,Eating
Ruddy,,,"A round apple covered with red flush. Flesh sweet, slightly aromatic. P Ecklinville x Mere de Menage. Raised by Charles Ross.",
Rushock pearmain,Wocestershire England,1821,"An apple of first-rate qualtity, almost entirely covered with russet. H 57, W 63.Use Christmas - April.",Eating
Rutledge,Texas ? US,1892,"Tree vigorous. Flesh tender, juicy, subacid, sweet, fair to good. Use January–May.",Eating
Sack and Sugar,,,"Cooking, Eating",
Saint Cecila,Wales,1900,"Even oval, golden yellow with crimson flush and stripes. H 60, W 73. FCC from RHS in 1919. Pick early October. Use December - March.",Eating
Saint Clair,US,Introduced 1947,"Resembles of Wealthy. Tree strong, productive.",Eating
Saint Edmund's Pippin,England,1870,"W 63, H 52. Stalk 12 – 22 mm. Unusual in fact that it has scaly russet patches mixed with smooth. Raised by Mr. Harvey. One of the best early russets. Flesh yellow, very juicy, vanilla/pear taste. Usually a light yellow-green. Pick mid September. Use September - October.",Eating
Saint Everard,England,1900,"Yellow striped with crimson. H 45, W 57. FCC from RHS in 1919. Flesh crisp, yellow, juicy, excellent. Pick early September. Use September.",Eating
Saint Lawrence,?,1831,"Flesh tender, juicy, subacid. Use September - October.",Eating
Saint Martins,England,1896,Brownish red with russet. A very sweet apple. AM from RHS in 1896. P Bess Pool x Cox Orange. Use - February,Eating
Salome,US,1853,"Yellow with red flush, round oblate.W 74, H 64. Stalk 16 mm. Tree vigorous, large. Flesh yellow firm, crisp, tender, juicy, subacid, good to very good. Use November - March.",Eating
Saltcote Pippin,England,1918,"Good flavour reminding one of Mother. Award of Merit from RHS in 1928. W 74, H 61. Stalk short or medium. Flesh, juicy, sweet, aromatic. Pick early October. Use November - January.",Eating
Samo,Finland,Introduced 1981,"A greenish-yellow apple. P Melba x Huvitus. Flesh sweet, subacid. Pick September.",Eating
Sandow,Canada,1935,"Fruity (raspberry,cherry flavours), tart, sweet, recommended for eating, cooking, and cider. Sandow is one of Canada's best kept secret apples. A few orchards exist in New Brunswick, Canada, where the trees can also be purchased. Stores well for four to five months in refrigeration.","Eating, Cooking, Cider."
Sandra,Finland,Introduced 1996,"A red Apple. P Lobo x Huvitus. Flesh sweet, subacid. Pick mid September.",Eating
Sandringham,England,1884,"A yellow apple. FCC from RHS in 1883. P Woodford x King of the Pippins. Flesh yellowish, firm, soft, subacid.",Cooking
Sanspareil,England,1899,"Medium to large , even round apple. Yellow red stripes. First Class Certificate from RHS in 1899. Use: February - May.","Cooking, Eating"
Santana,Netherlands,1978,Scab resistant.,Eating.
"Särsö (syn. Mignon, Cloetta)",Sweden,1917,"W 73, H 60. Stalk 25 mm. Flesh subacid, fair to good. Pick late September, Use October - November.","Eating, Cooking, Jam"
Saturn,England,1980,Scab resistant.,Eating.
Scarlet Cranberry,US,1865,"Flesh crisp, juicy, astringent, subacid, fair to good.",Eating
Scarlet Nonpareil,England,1773,"A very excellent dessert apple of first-rate quality. AM from RHS in 1901. Flesh pale yellow, sweet, firm, good. Use: January to March. H 52, W 57.",Eating
Scarlet Pearmain,England,1800,"A dessert apple of first rate quality. The tree is a free and vigorous grower. Flesh yellow, tender. H 54, W 60. Use: October–January.",Eating
Scarlet Pippin,Ontario,1895,"Stalk short. Flesh white, juicy, subacid. Use September - October.",Eating
Scarlet Staymared,US,Introduced 1936,A red apple.,Cooking
Scarlet Tiffing,England,1875,A valuable and excellent culinary apple. W 76 HH 57. Stalk 12 mm. Use November - December.,Cooking
Schoolmaster,"Lincolnshire,England",1855,"A fine cooking apple. FCC from RHS in 1880. W 76, H 70. Stalk very short. P Golden Noble x Dumelow. Flesh white, crisp, acid. Pick October. Use November - January.",Cooking
Scweizer Orange,Switzerland,1935,"A green-yellow apple with red orange flush. W 67, H 50, We 105.","Eating, Cooking"
Scrumptious agm,England,2003,"Sweet and crisp. Self-fertile, mid-season variety that ripens in early September and will store well for about a month. The blossom is frost hardy resulting in heavy crops and the tree can be grown in all areas of the UK. The flesh is crisp and aromatic and the thin skin turns deep red as it develops",Eating
Secor,US,Introduced 1922,P Salome x Jonathan. Free from Jonathan spot in storage. Use January - April.,Eating
SeeandO Red Rome 262,US,Introduced 1943,Mutation of Rome Beauty.,Eating
Seneca Favorite,US,1853,"Stalk long to medium. Flesh crisp, tender juicy, subacid, very good. Pick September. Use September - December.","Eating, Cooking."
September Beauty,England,1885,"H 57, W 70. FCC from RHS in 1885. A yellowish-green apple, striped with orange. Flesh yellow, tender. Skin slightly russetted. Pick mid September. Use September - November.",Eating
Shackleford,US,1883,"W 83, H 69. Stalk 16 mm. Flesh firm, crisp, tender, juicy, subacid, fair to good. Use November - April.",Eating
Sharp,US,1889,"Stalk very short. Flesh tender, crisp juicy, sweet, very good. Use October - November.",Eating
Sharon,US,Introduced 1922,"A red striped fruit. P McIntosh x Longfield. Tree vigorous, productive, hardy.",Eating
Shinano Sweet,Japan,1978,mid-season crops. Tsugaru x Fuji,Eating
Shiawasse(syn. Shiawasse Beauty),Mich. US,Introduced 1862,"W 81, H 54. Stalk 10 mm. Flesh white, subacid, aromatic. Use October - January.",Eating
Shockley,United States,1852,"W 64, H 59. Stalk 22 mm. Yellowish and green skin with reddish stripes. Flesh crisp, juicy, sweet taste with vinous flavour. Use April - May.","Eating, preserves"
Shoesmith,England,1930,"P Lane´s Prince Albert x Golden Noble. W 93, H 76. Stalk medium to long. Flesh white, soft, juicy, subacid. Pick late September. Use September - December.",Cooking
Shotwell Delicious,US,1928,Mutation of Delicious,Eating
Siely´s Mignonne,England,1800,"Yellow covered with russet. H 45, W 45. Stalk 13 mm. Flesh greenish yellow. Juice highly aromatic and of most excellent flavour. Use November - February.","Eating, Juice"
Signe Tillisch,Denmark,1866,"W 70-90, H 55-80, We 95-200. Alexander x London Pippin.","Eating, Cooking."
Sirius,Czech Republic,2007,"Flesh yellow, firm, crisp, fine grained, very juicy, well balanced sugar and acid level, rich flavour",Eating
Sir John Thornycroft,United Kingdom,1911,"Above medium size, shing yellow with pinkish red flush on sunny side. AGM from RHS in 1911. Use October - March.",Eating
Sir William Gibbon´s,England,1880,A calville-shaped excellent culinary apple. H 76 W 96. Stalk very short. Use November - January.,Cooking
Sitchamton Russet,England,1876,"A dessert apple of good quality. Skin covered with grey russet. H 51, W 60. Stalk short and stout. Flesh yellowish, juicy, aromatic flavour. Use December - February.",Eating
Sköldinge,Sweden,1800,"W 65, H 61. Stalk 15 mm. Flesh juicy, sweet, subacid, good. Pick early October. Use November - January.",Eating
Slack-Ma-Girdle,England,1880,"Yellow streaked with red. H 47, W 62. Stalk very short. Pick mid October. Use October - December.",Cider
Slastica,Croatia,,"Yellow with red flush. W 50-60, H 40-60, We 70-100. Short stalk. Flesh yellowish to white, firm, juicy, sweet. Disease resistant. Biennial. Pick mid-October.","Eating, Cooking, Cider, Drying"
Slatka šarenika(syn. Šarenika),Montenegro,,"Green with red flush. W 71, H 59. We 149. Stalk medium. Flesh juicy, sweet, aromatic. Pick mid October. Use November - May.","Eating, Cooking"
Slatka srčika(syn. Srčika),Croatia,,"Eating, Cooking, Cider, Drying.",
Sleeping Beauty,England,1851,"Medium sized. A most excellent apple for all culinary purposes, and particularly for sauce. Use November - February.",Cooking
Slor,Israel,Introduced 1982,"Large conic, dark red stripes. Flesh sweet, subacid.",Eating
Small´s Admirable,England,1850,"An excellent kitchen and dessert apple. Flesh white, firm, crisp, juicy, subacid. Use November - December.","Cooking, Eating"
Smith´s(syn. Smith´s cider),US,1825,"W 70-83, H 60-76. Stalk 10–20 mm. Tree very vigorous. Flesh white, tender, juicy, crisp, subacid, good. Use December - March","Cooking, Cider"
Smokehouse,US,1837,"W 82, H 64. Stalk 23 mm. Greenish-yellow with flushed red-orange stripes. The yellowish-white flesh is crisp and tender with a spicy-sweet flavour that tastes like cider. Excellent all-purpose apple. Unusual in that it also makes excellent cider. Seedling discovered growing next to the smokehouse on William Gibbons' farm in Mill Creek, PA. Bears fruit from young age. Use September - February.","Eating, Cooking, Cider."
Snow apple (Fameuse),Canada,,"Tender, aromatic, distinct flavour. A parent of McIntosh.","Cider, cooking, eating"
Snövit,Sweden,1936,"Yellow with red flush. W 64, H 56. P Stenbock x Pfirsichroter Sommerapfel. Pick September. Use September.",Eating
Södermanlands kalvill,Sweden,1850,"W 70-100, H 61-86. Stalk 17–18 mm. Flesh juicy, aromatic, good. Use October - December.",Eating
Södermanlands äpple,Sweden,1800,"W 65-83, H 65-79. Stalk 19–28 mm. Flesh juicy, subacid, good. Use September - December.",Eating
Somerset,US,1869,"Tree is an early bearer. Flesh white, juicy, aromatic, very good. Use September - October.",Eating
Sonya,New Zealand,2000,Cross between a Red Delicious and Gala. Coppery coloration. Crisp.,Eating
Sops-in-Wine(syn. Sops of Wine),England,1688,"W 71, H 60. Stalk 20 mm. Red flesh, juicy, and pleasantly flavoured. Tree is vigorous, very hardy, an excellent bearer and not subject to canker. Use August - September.","Cooking, Cider"
Sowman´s Seedling,England,1928,A large green apple. P Grenadier x Bismark. Very susceptible to Bitter Pit.,Cooking
Sparreholm,Sweden,1868,W 77 H 77. Stalk 10mm. Pick September. Use September.,Eating
Spartan,Canada,1926,"Round-conical, yellow, 75-100% flushed crimson. Strong aroma. Prone to canker. W 64, H 58. Stalk 15–20 mm. Good all-purpose, medium-sized apple. Has a bright red blush and may have background patches of greens and yellows. Popular across border in United States as well. Pick early October. Use November - February.","Cooking, Eating, Cider"
Splendour/Splendor,New Zealand,1948,"Descendant of Red Dougherty x Golden Delicious, ancestor of Pacific Rose and Aurora Golden Gala",Eating
Stanard(syn. Stannard),US,1850,"W 88, H 72. Stalk 14 mm. Flesh yellow, tender, acid to subacid. Use November - February.",Eating
Stäringe Karin,Sweden,1902,"W 77, H 67. Stalk 15 mm. A green apple with red flush. Flesh, juicy, subacid, good. Pick late September.",Eating
Star of Devon,England,1905,"Oblong shaped yellow apple with red stripes. AM from RHS in 1905. Flesh white, soft, poor. H 48, W 64. Pick early October. Use October - April.",Eating
Stark,Ohio ? US,1867,"W 92, H84. Stalk 20 mm. Tree vigorous, hardy, healthy. Flesh yellow, firm, fine, tender, juicy, mild subacid, fair to good. Use November - April","Eating, Cooking"
Stark Earliest,US,1938,"W 57-60, H 45-60. Stalk 18 mm. Does nicely in fruit salads. Red striping on light background. Pick early August. Use August - September.",Eating
Starkey,Me. US,1875,"Stalk medium. Flesh white, juicy, crisp, subacid, very good. Use October - January.",Eating
Starr,US,1870,"Flesh whitish, subacid. Good. Stalk slender. Use July - September.",Cooking
Starking,New Jersey,1921,A red mutation of Delicious.,Eating
Stayman,US,1866,"Dullish red skin often covered with a light russet. H 76, W 78. Tart, wine-like flavour. Flesh yellow, firm, coarse, tender, juicy, mild subacid, aromatic, good to very good. Stores well. Particularly known for tangy cider. Use January - May.","Cider, Cooking, Eating"
Staymanred,US,1926,A red apple. Mutation of Stayman Winesap.,
Stenkyrke,Sweden,1750,"A yellow conical apple. W 75, H60. Flesh, juicy, subacid, very good. Use November - January.",Eating
Stirling,Canada.,Introduced 1936,"P Yellow Newtown x unknown. Flesh crisp, juicy. Short storage life.",Eating
Stirling Castle,Scotland,1830,"W 67-76, H 57-60. Stalk 18 mm. Medium size, round, flattish, even apple. Green soft flesh. Pick mid September. Use Sept. - December.",Cooking
Stoke Edith Pippin,England,1872,"An excellent dessert apple. Flesh yellow firm, crisp, brisk and juicy, sweet, and with a perfumed flavour. H 50, W50. Use November - February.",Eating
Stolovača,Serbia,1900,"A green apple. W 65-75, H 45-55. We 155-185. Stalk short. Flesh white, subacid. Pick late September - early October.","Eating, Cooking"
Stonetosh,Canada,Introduced 1922,"P Stone x McIntosh. Flesh soft, juicy, sweet, white. Triploid. Pick early October. Use October- February.",Eating
Streifling Herbst,Netherlands or Western Europe,,Sour sweet. Popular in Eastern Europe,"Eating, juice, jam, compote, dried"
Striped Beefing,England,1794,"One of the best culinary apples, for baking it is unrivalled. H72, W88. Stalk 10mm. Use November - February.",Baking
Strode´s Birmingham(syn. Strode´s),Pa. US,1875,"A small yellow apple. Flesh yellow, juicy, subacid. Use September.",Eating
Sturmer Pippin,England,1831,"A bright greenish-yellow apple with a reddish-brown blush, often on one face only. W 69, H 62. Stak 12–25 mm. Flesh white, crisp, juicy, subacid, aromatic. One of the best English keeping apples, with proper storage Sturmer Pippin lasts 4 to 5 months. Flavour is sprightly, more sharp than sweet when first picked, but improves dramatically in storage, becoming sweeter and richer, while maintaining its crisp texture. This keeping ability made it ideal for long journeys, as such, it was brought to Australia where it is still widely grown. Parent of Granny Smith. Pick mid October. Use January - April.",Eating
Suislepper,Estonia,1870,"Flesh soft and aromatic. W 70, H 70. Pick September. Use September.",Eating
Šumatovka(syn. Popadija),Serbia,1900,"A yellow apple with red flush. W 67, H 57. We 117. Stalk 23 mm. Flesh white, firm, crisp, sweet, subacid. Tree extremely vigorous. Pick October. Use November - January.","Eating, Cooking"
Summer Bellflower,US,1848,"Flesh tender, subacid, good. P Esopus Spitzenburg x unknown.",Eating
Summerfree,Italy,1998,"Resistant to scab. Spreading habit with moderate vigour, fruit is large, average weight of 175 g, skin is smooth, ripens 1–2 days before Gala, good storage ability.",Eating
Summer Golden Pippin,England,1800,"A small apple, ripe in the end of August. Richer flavour than Yellow Ingestrie. H54, W51. The tree is a small grower. It is an early and abundant bearer.",Eating
Summer Pearmain American(syn. Early Summer Pearmain),US,1817,"Greenish yellow with red overcolour. W 75, H 68. Stalk 23 mm. Flesh yellowish, juicy, aromatic, mild, subacid. Use August - September.",Eating
Summer Pippin,US,1800,"Flesh white, tender, juicy, subacid. W 78, H 70. Use August - September.",Cooking
"Summer Pound Royal(syn. Pound Royale, Orange)",US,1800,"Flesh white, tender, juicy, subacid. W 85, H 71. Stalk 20mm. Use August - September. Tree is a strong grower.",Eating
Summer Queen,US,1806,"W 68, H 60. Stalk 33 mm. Flesh yellow, acid, spicy, aromatic. Use July - August.",Cooking
Summerred,Canada,1964,"Red apple. W 67 H 67. P(McIntosh x Golden Delicious) x unknown. Flesh white, soft, juicy. Pick early September, Use September - October.",Eating
Summer Rose,New Jersey,1806,"A small apple. One of the best early apples. Flesh white, juicy, subacid. Use June - August.","Cooking, Eating"
Summer Spitzenburg,US,1872,"Flesh, juicy, aromatic, good to very good. Biennial. Pick August. Use August - September.",Eating
Sunset agm,England,1918,"Easy to grow. W 61, H 51. Stalk 15 – 22 mm. Has very similar flavour to Cox's Orange Pippin. Won't do well in heat. Pick late September. Use October - December.",Eating
Suntan,England,1956,"Fruits ripen orange-red, flavour is sharp and intense. W 70, H 54. Stalk 15 – 20 mm. Pick mid October. Use November - January.",Eating
Superior,US,Introduced 1930,P Duchess x Wealthy. Use - December.,Eating
Surprise,US ?,,A small apple. Flesh stained with red. Use November - January.,Eating
Sutton Beauty,Massachusetts,1757,"Flesh whitish, crisp, tender, juicy, subacid. Use November - February.",Eating
Swaar(syn. Hardwick),US,1800,"W 78, H 61. Stalk 19–26 mm. Flesh yellowish, tender, aromatic, spicy, very good to best. Use December - March.",Eating
Sweet Bough,US,1806,"One of the finset summer apples, greenish-yellow. Flesh white, juicy, slightly aromatic, good to very good. Use August - September. AC s.",Eating
Sweet Delicious,US,Introduced 1922,P Deacon Jones x Delicious.,"Eating, Baking"
Sweet McIntosh,US,Introduced 1922,P Lawver x McIntsosh.,"Eating, Baking"
Sweet Pippin,US,1830,"Stalk short. Flesh juicy, sweet. Tree productive. Use November - December",Eating
Sweet Pippin syn. of Moore Sweet,,,,
Sweet Pippin syn. of Hog Island Sweet,,,,
Sweet Romanite,US,1850,"W 74, H 61. Stalk 15 mm. Flesh yellow, juicy, very sweet. Use December - April.","Baking, Cider, Eating"
Sweet Russet,US,1850,"W 74, H 62. Stalk 11 mm. Flesh yellow, tender, juicy, sweet. Use August.",Baking
Sweet Russet syn. of Pumpkin Russet,,,,
Sweet Russet syn. of Cheeseboro,,,,
Sweet Sixteen,US,1973,"Large fruit, some russeting near top. Moderately acidic taste.",Eating
SweeTango,US,2009,"Juicy and sweet, and viewed as a successor to the Honeycrisp by many growers.",Eating
Switzer,Russia,1870,"Flesh white, juicy, subacid, good. Biennial. Pick August. Use September - October.","Cooking, Eating"
Syke House Russet,England[6],1780,One of the most excellent dessert apples. The tree is a free grower and an excellent bearer. Use: October–February,Eating
Talman´s Sweet see Tolman Sweet,,,,
Talvikaneli see Vinterkanel,,,,
Talvikki,Finland,2003,A large green apple with red flush. P Lobo x Yläkautto. Pick mid October.,Cooking (Eating)
Tamplin,?,1900,"Crimson red with dark broken stripes. AM from RHS in 1902. Flesh yellowish, poor.",Eating
Teser,United States,1944,Resistant to scab.,Eating
Tart Bough(syn. Sour Bough),US,1830,"Flesh white, tender, juicy, subacid. Use August.",
Tart Bough syn. of Early Harvest,,,,
Tart Bough syn. of Champlain,,,,
Telstar,New Zeeland,1934,"P Golden Delicious x Kidds Orange Red. W 69, H 56. Stalk long. Flesh white, crisp, juicy, sweet. Pick mid October. Use November - December.",Eating
Tetofski,Russia,1831,"A small apple. Flesh yellowish-white, firm, coarse, tender, aromatic juicy, subacid, fair to good. Use June - July",Cooking
Tewkesbury(syn. Tewkesbury Winter Blush),N.J. US,1850,"W 60, H 45. Stalk 11 mm. Flesh yellow, subacid. Use January - July.",Eating
Thomas Rivers (syn. River´s Codlin),England,1892,"Round, conical, pale yellow with slight brownish flush, flesh crisp, yellowish, acid cooks extremely well. P Mother x Dumelow. First Class Certificate from RHS in 1892. H 64, W64.",Cooking
Thompson,US,1892,"Flesh white, crisp, tender, juicy, subacid, fair to good. Stalk medium. Use October - December.",Eating
Thorle Pippin see Whorle Pippin,,,,
Tiganka(syn. Tiganka Alaia),Moldova,1900,"A red apple. W 73-82. H 70-75. We 80-115. Stalk short. Flesh juicy, subacid. Pick mid September. Use October - November.",Cooking (Eating)
Tiganka Grie,Moldova,1900,"A green apple with red flush. W 70-85, H 70-85, We 85-125. Stalk medium to long. Flesh juicy, subacid.",Cooking (Eating)
Tinmoth,US,1857,"Flesh tender, juicy, subacid, peculiar flavor, good. Tree very productive. Use October - December.",Eating
Titovka(syn. Titus Apple),Russia,1870,"Flesh white, juicy, subacid, good to very good. Tree vigorous. Use August - September.",Cooking
Titus Pippin,US,1870,"Flesh whitish yellow, juicy, tender, subacid.Good. Tree productive. Use December - February.",Eating
Tobias,Finland,Introduced 2003,A red conical apple. P Lobo x Huvitus. Pick early October.,"Cooking, Eating"
Tolman Sweet(syn. Talman´s Sweet),US,1822,"Very sweet apple. Once used to make dried fruit for winter. Flesh white, firm, dry, sweet, good to very good. Use October - March.","Cider, Cooking"
Tom Putt,England,1800,"Small to medium, flat and irregularly shaped apple. Green, usually covered entirely with a bright red blush. H 55-63, W 65-78. Crisp, sharp flavour. An excellent cooker and ideal single-variety cider apple. Softens during storage. Tree is vigorous and precocious. Scab-resistant. Seedling found by a Rev. Tom Putt of Trent, Somerset, England in the late 1700s. Triploid. Pick early September. Use September - November.","Cider, Cooking"
Tompkins King (or King),United States,1804,"This apple is gigantic, and of excellent quality both as a dessert fruit and for cooking. The fruit shape is uniform and the skin mostly red with some yellow stripes. The flesh is yellowish and crisp. The fruit does not keep as well as some other apple cultivars.",Eating
Topaz,Czechoslovakia,1990,"Rubin × Vanda, scab-resistant, sharp flavour.","Cider, Cooking, Eating"
Tower of Glammis,Scotland.,1800,"A first rate culinary apple, once very popular in Lanarkshire. Greenish in colour with some russeting near stalk normal.[301] W 73, H 70. Stalk 12 – 15 mm. Triploid. Pick late October. Use November–February.",Cooking.
Townsend,Pa. US,1785,"Stalk long. Flesh white, tender, subacid, good to very good. Tree healthy, vigorous. Good to very good. Pick late August.",Eating
Traders Fancy,US,1840,"Flesh white, crisp, tender, juicy, subacid, good to very good. Tree vigorous. Use January - May.",Cooking
Trajan,England,Introduced 1989,"P Wijcik McIntosh x Golden Delicious. Dark red. Flesh crisp, juicy, sweet. Pick September. Use September - October.",Eating
Trenton Early,USA,Introduced 1852,"Flesh white, tender, juicy, subacid. Tree moderately vigorous, quite productive. Use August - September.","Cooking, Eating"
Trogsta,Sweden,1900,"W 59-71, H 50-59. Stalk 9 mm. Flesh juicy, good. Pick September.",Eating
Tropical Beauty,South Africa,1930,"P unknown. Flesh soft, poor.",Eating
Tropic Sweet,Florida,Introduced 1996,P polycross from Jerseymac x Anna selections. W 70. One of a handful of apple varieties that will grow in Florida; will not do well in cold weather at all.,Eating
Trumbull Sweet(syn. Fenton Sweet),US,1850,"Flesh white, juicy, sweet. Tree vigorous, productive, early bearer. Use September - October",Baking
Tsáriskij schip,Estonia,1880,Medium size conical. Yellow with red stripes. Pick September. Use September.,"Cooking, Eating"
Tsugaru,Japan,1930,Golden Delicious × Jonathan,Eating
Tufts,US,1855,"Flesh crisp, mild subacid, fair to good. Stalk long. Use October - December.",Eating
Tumanga (syn. Auralia),Germany,1930,"A green apple with red flush. W 66-80, H 52, We 110-195. Pick early October. Use November - February.",Eating
Turley,US,Introduced 1922,"P Winesap x unknown. Tree bears annually, very productive.",Cooking
Twenty Ounce,New York,1844,"Huge: apple weighs over one pound, or nearly 500 g. Green overlaid with broad red striping. Stalk short, thick. Flesh whitish - yellow, tender, juicy, subacid, good. Excellent cooker. Nice juice qualities. Use September - October.","Cider, Cooking, Eating"
Tydeman's Early Worcester,England,1929,"Mclntosh × Worcester Pearmain. Crimson over yellow background colour. Flesh white, juicy, sweet with strong aroma. H 54-60, W 60-67. Stalk 17–20 mm. Pick mid August. Use August - September.",Eating
Tydeman's Late Orange,England,1930,"Good storage qualities, but loses fragrance with age. H 55, W 58. Stalk 15–25 mm. Pick mid October. Use December - April. Sometimes cultivated in California; one of a handful of British apples that will thrive in the state.",Eating
Tyler´s Kernel,England,1883,"A pale yellow apple. W 64, H 76. FCC from RHS in 1883. Rather subject to canker.",Cooking
Undine,Germany,1961,A large apple (180-230 gram). Green with some orange overcolour. Jonathan x unknown.,Eating
Utter,US,1855,"Flesh, crisp, tender, juicy, subacid, good. Tree regular grower, healthy, productive. Use October - December.",Eating
Uttwiler Spätlauber,Switzerland,1750,,Eating
Valinhense,Brazil,,P unknown. Very firm tart apple.,Cooking
Valmore,US,Introduced 1934,P unknown.,Cooking
Vance Delicious,US,1930,Mutation of Delicious.,Eating
Vanderspiegel,Vt. US,1875,"Flesh yellow, crisp, juicy, subacid. Tree productive. Use December -February.",Eating
